pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
K2-167 b,K2-167,1,1,Transit,2018,9.97857,0.41,0.0999,2.264,,229.0,1131.0,,6141.0,1.46,1.34,0.425,[Fe/H],4.24,80.8994,Neptune-like
K2-168 b,K2-168,1,2,Transit,2018,15.8523,,,1.86,,,766.0,,5502.7,0.83,0.88,,,,243.935,Super Earth
K2-169 b,K2-169,1,1,Transit,2018,6.380803,,,1.273,,,,,5548.0,0.92,0.99,0.26,[Fe/H],4.56,235.867,Super Earth
K2-17 b,K2-17,1,1,Transit,2015,17.96753,,0.119,2.23,,,487.0,,4320.0,0.66,0.71,0.15,[Fe/H],,125.106,Neptune-like
K2-170 b,K2-170,1,2,Transit,2018,7.576544,,,1.418,,,,,5748.0,0.98,0.96,-0.11,[Fe/H],4.34,392.872,Super Earth
K2-170 c,K2-170,1,2,Transit,2018,12.400047,,,1.802,,,,,5748.0,0.98,0.96,-0.11,[Fe/H],4.34,392.872,Super Earth
K2-171 b,K2-171,1,1,Transit,2018,5.628466,,,2.687,,,,,5250.0,1.72,0.89,-0.09,[Fe/H],3.95,606.128,Neptune-like
K2-172 b,K2-172,1,2,Transit,2018,14.316941,,,1.666,,,,,5569.0,0.87,0.93,-0.06,[Fe/H],4.61,249.742,Super Earth
K2-172 c,K2-172,1,2,Transit,2018,29.62682,,,3.206,,,,,5569.0,0.87,0.93,-0.06,[Fe/H],4.61,249.742,Neptune-like
K2-173 b,K2-173,1,1,Transit,2018,5.868699,,,1.608,,,,,5580.0,0.84,0.88,-0.25,[Fe/H],4.52,228.641,Super Earth
K2-174 b,K2-174,1,1,Transit,2018,19.562307,,0.126,2.6,,,455.0,,4455.0,0.68,0.7,0.113,[Fe/H],4.62,99.9293,Neptune-like
K2-175 b,K2-175,1,1,Transit,2018,9.525988,,,2.038,,,,,5909.0,1.42,1.09,0.05,[Fe/H],4.11,247.266,Super Earth
K2-176 b,K2-176,1,1,Transit,2018,5.329439,,,1.491,,,,,5428.0,0.86,0.94,0.15,[Fe/H],4.63,247.302,Super Earth
K2-177 b,K2-177,1,1,Transit,2018,14.155185,,,2.116,,,,,6063.0,1.21,1.21,0.41,[Fe/H],4.38,492.167,Neptune-like
K2-178 b,K2-178,1,1,Transit,2018,8.747818,,,3.558,,,,,5525.0,0.89,0.95,0.09,[Fe/H],4.55,214.753,Neptune-like
K2-179 b,K2-179,1,1,Transit,2018,5.172191,,,2.513,,,,,5015.0,0.77,0.82,0.03,[Fe/H],4.63,190.81,Neptune-like
K2-18 b,K2-18,1,2,Transit,2015,32.939623,0.2,0.1429,2.37,8.92,,284.0,,3457.0,0.41,0.36,0.12,[Fe/H],,38.0266,Super Earth
K2-18 c,K2-18,1,2,Radial Velocity,2017,8.962,0.47,0.06,,7.51,,363.0,,3457.0,0.41,0.36,,,,38.0266,Neptune-like
K2-180 b,K2-180,1,1,Transit,2018,8.8656511,,0.0734,2.52,,,802.0,,5306.0,0.72,0.72,-0.5,[Fe/H],4.57,203.896,Super Earth
K2-181 b,K2-181,1,1,Transit,2018,6.894256,,0.0706,2.84,,,962.0,,5608.0,1.07,0.99,0.23,[Fe/H],4.38,360.911,Neptune-like
K2-182 b,K2-182,1,1,Transit,2018,4.7369683,0.04,0.0526,2.69,20.0,146.9,969.0,,5170.0,0.79,0.86,0.12,[Fe/H],4.61,154.83,Neptune-like
K2-183 b,K2-183,1,3,Transit,2018,0.469285,,,1.1,,,,,5482.0,0.87,,0.09,[Fe/H],4.6,329.041,Super Earth
K2-183 c,K2-183,1,3,Transit,2018,10.787992,,,2.3,,,,,5482.0,0.87,,0.09,[Fe/H],4.6,329.041,Neptune-like
K2-183 d,K2-183,1,3,Transit,2018,22.620344,,,2.3,,,,,5482.0,0.87,,0.09,[Fe/H],4.6,329.041,Neptune-like
K2-184 b,K2-184,1,1,Transit,2018,16.9780102,,0.1685,1.47,,,533.0,,5245.0,0.75,0.84,-0.1,[Fe/H],4.62,75.5857,Super Earth
K2-185 b,K2-185,1,2,Transit,2018,10.616384,,,1.15,,,809.0,,5788.0,0.94,0.96,-0.1,[Fe/H],4.48,268.357,Super Earth
K2-185 c,K2-185,1,2,Transit,2018,52.713494,,,2.39,,,477.0,,5788.0,0.94,0.96,-0.1,[Fe/H],4.48,268.357,Neptune-like
K2-186 b,K2-186,1,1,Transit,2018,41.474219,,,3.172,,,,,5784.0,0.98,1.02,0.06,[Fe/H],4.45,330.739,Neptune-like
K2-187 b,K2-187,1,4,Transit,2018,0.77401,,,1.2,,,,,5438.0,0.83,,0.0,[Fe/H],4.6,330.916,Super Earth
K2-187 c,K2-187,1,4,Transit,2018,2.871512,,,1.4,,,,,5438.0,0.83,,0.0,[Fe/H],4.6,330.916,Super Earth
K2-187 d,K2-187,1,4,Transit,2018,7.149584,,,2.4,,,,,5438.0,0.83,,0.0,[Fe/H],4.6,330.916,Neptune-like
K2-187 e,K2-187,1,4,Transit,2018,13.606629,,,1.9,,,,,5438.0,0.83,,0.0,[Fe/H],4.6,330.916,Super Earth
K2-188 b,K2-188,1,2,Transit,2018,1.742169,,0.0289,1.35,,,1692.0,,5977.0,1.19,1.06,-0.01,[Fe/H],4.31,446.821,Super Earth
K2-188 c,K2-188,1,2,Transit,2018,7.810253,,0.0785,2.83,,,1026.0,,5977.0,1.19,1.06,-0.01,[Fe/H],4.31,446.821,Neptune-like
K2-189 b,K2-189,1,2,Transit,2018,2.588309,,0.0361,1.52,,,1197.0,,5519.0,0.87,0.94,0.0,[Fe/H],4.53,242.113,Super Earth
K2-189 c,K2-189,1,2,Transit,2018,6.679195,,0.068,2.5,,,872.0,,5519.0,0.87,0.94,0.0,[Fe/H],4.53,242.113,Neptune-like
K2-19 b,K2-19,1,3,Transit,2015,7.9222,0.2,,7.0,32.4,,,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,289.827,Neptune-like
K2-19 c,K2-19,1,3,Transit,2015,11.8993,0.21,,4.1,10.8,,,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,289.827,Neptune-like
K2-19 d,K2-19,1,3,Transit,2016,2.5081,,,1.11,10.0,,,,5322.0,0.82,0.88,0.06,[Fe/H],4.51,289.827,Super Earth
